,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
10,"Mondelēz International
4.0",Data Science Manager - Forecasting,Remote,"Job Description
Are You Ready to Make It Happen at Mondelēz International?
Join our Mission to Lead the Future of Snacking. Make It With Pride.
Together with analytics team leaders you will support our business with excellent data models to uncover trends that can drive long-term business results.
How you will contribute
You will:
Work in close partnership with the business leadership team to execute the analytics agenda
Regular
Analytics & Modelling
Analytics & Data Science
Show More
Report",#N/A,1001 to 5000 Employees,Company - Public,Manufacturing,Food & Beverage Manufacturing,2012,$10+ billion (USD)
11,Athena,"Specialist, Analytics & Data Science",Remote,"At Athena, we power possibilities through transformative delegation. True leaders reflect on what they want in life and map out the path to get there. Athena is the path. We offer rigorously-tested delegation coaching technology and an exceptional Philippines-based XP to keep our driven clients moving forward. The result is 10x more leverage, more time, and more impact in work and life.
As a part of the Athena team, you will have an exponential opportunity, empowering the fiercely ambitious to reach the most audacious goals. Our clients are leaders, high-impact CEOs, founders, and execs. They have started 100+ companies, raised billions in venture capital, taken companies public, worked in the White House, invested in Facebook/Uber/ Airbnb, run professional sports teams, were Governor of US states, and competed in Ironman races and the World Series of Poker. As a part of the Athena team, you will have an exponential opportunity, empowering the fiercely ambitious to reach the most audacious goals.
We are in need of an Analytics & Data Science Specialist who will be responsible for providing business-critical insights and data, performing data analysis and creating written reports on outcomes and findings, and building dashboards and KPI-based tracking.
Show More
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12,"Deloitte
4.1",A&A -Data Scientist - AI POD,Bengaluru,"Data Scientist- Staff
Do you have a passion for artificial intelligence, machine learning, and data analysis? Do you yearn to have the impact of your work recognized and valued by more than just your development team?
If yes, we have just the role for you.
In Deloitte’s Audit and Assurance business, we make businesses and markets better. An audit is more than an obligation; it is an opportunity to see further and deeper into businesses. In our role as independent auditors, we enhance trust in the companies we audit, helping a multitrillion dollar capital markets system function with greater confidence. As we aspire to the very highest standards of audit quality, we deliver deeper insights that can help clients become more effective organizations.
You will be joining our collaborative Data Science team which leverages the most advanced technologies in machine learning and artificial intelligence to achieve the Deloitte Audit and Assurance vision of an AI-enabled audit. Some of our current projects focus on generative AI, prompt engineering, LLMs, anomaly detection, clustering, and knowledge graphs.






Show More
Report",₹5L - ₹9L ,10000+ Employees,Company - Private,Finance,Accounting & Tax,1850,Unknown / Non-Applicable
13,"Educate Girls
3.9",Assistant Data Science Engineer,Mumbai,"Established in 2007, Educate Girls’ is a non-profit that focuses on mobilizing communities for girls’ education in India’s rural and educationally backward areas.
Strongly aligned with the ‘Right to Education Act’ or the ‘Samagra Siksha’, Educate Girls is committed to the Government’s vision to improve access to primary education for children, especially young girls.
Educate Girls currently operates successfully in over 20,000+ villages in Rajasthan, Madhya Pradesh and Uttar Pradesh. By leveraging the Government’s existing investment in schools and by engaging with a huge base of community volunteers, Educate Girls helps to identify, enroll and retain out-of-school girls and to improve foundational skills in literacy and numeracy for all children (both girls and boys). This helps deliver measurable results to a large number of children and avoids parallel delivery of services.
www.educategirls.ngo
Show More
Report",₹7L - ₹8L,1001 to 5000 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
14,"Globussoft Technologies
4.4",Data Science,Bengaluru,"Job Description: DATA SCIENTIST

Selecting features, building and optimizing classifiers using machine learning techniques

Data mining using state-of-the-art methods

Extending company’s data with third party sources of information when needed

Processing, cleansing, and verifying the integrity of data used for analysis

Develop custom data models and algorithms to apply to data sets.





Show More
Report",₹4L,201 to 500 Employees,Company - Private,Information Technology,Computer Hardware Development,2009,$5 to $25 million (USD)
15,"Nissan
3.9",Data Engineer I,Thiruvananthapuram,"Key Responsibilities:

Ensure that the guidelines laid out by the architect is adhered to. Ensure adherence to data quality standards and ensure delivery with highest possible quality without compromising on the timelines. Writing scalable, maintainable and testable code Participating in code reviews and design discussions. Understand and follow best practices around coding, design, quality, performance in your team. Experiment with new & relevant technologies and tools

Preferred Competencies:
Good knowledge and experience in data processing tools(ETL), data bases, cloud based data services and platforms.
Good experience in developing ETLs or similar data solutions in the Cloud to be deployed in AWS





Drive your career forward and join the company leading the technology and business evolution in the automotive industry.
Trivandrum Kerala India
Show More
Report",₹4L - ₹9L ,10000+ Employees,Company - Public,Manufacturing,Transportation Equipment Manufacturing,1933,$2 to $5 billion (USD)
16,Innomatics Research Labs,Data Science Intern,Hyderābād,"Understanding of machine-learning and data science life cycle.
Expert knowledge of Python and Python libraries responsible for Data Analysis, Machine Learning and Deep Learning is required
Experience using business intelligence tools (e.g. Tableau) and web frameworks (e.g. Flask)
Analytical mind and business acumen
Roles and Responsibilities
Design and develop engaging content for the learners.
Good at managing interactive sessions.

Show More
Report",₹2L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17,"X-YUG Technologies
2.1",Artificial Intelligence (AI) Engineer,India,"We are seeking a highly skilled and motivated AI Engineer to join our dynamic team and contribute to the development and implementation of cutting-edge artificial intelligence solutions. As an AI Engineer, you will play a pivotal role in designing, building, and deploying AI-powered applications that solve complex problems and enhance user experiences.
Key Responsibilities:
1. Algorithm Development: Design, develop, and optimize machine learning and deep learning algorithms to solve a wide range of problems, such as natural language processing, computer vision, recommendation systems, and more.
2. Model Training and Evaluation: Train, fine-tune, and validate machine learning models using large datasets. Implement techniques for model evaluation, validation, and testing to ensure high performance and reliability.
models.
libraries and frameworks (e.g., TensorFlow, PyTorch, scikit-learn).
techniques.
documentation.
technologies.
or other specialized AI domains.
Show More
Report",₹1L,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
18,"Indeed
4.2",Sr Data Scientist - Matching Science,Remote,"Our Mission
As the world’s number 1 job site*, our mission is to help people get jobs. We strive to cultivate an inclusive and accessible workplace where all people feel comfortable being themselves. We're looking to grow our teams with more people who share our enthusiasm for innovation and creating the best experience for job seekers.
(*comScore Total Visits, September 2022)
Day to Day
The Matching Science team’s mission is to connect jobseekers with jobs through high-quality recommendations. We leverage Indeed’s data and advanced Machine Learning (ML) techniques to innovate in this area and push the boundaries of Artificial Intelligence (AI) at Indeed. Our recommendation engine powers multiple major Indeed products, evaluating tens of billions of matches daily and making data informed choices through continuous AB testing. On a daily basis you will explore data and formulate problem statements, develop and deploy predictive models while monitoring them in production. Collaborate with cross-functional teams and stay updated with the latest advancements in the field.

Show More
Report",₹50L - ₹74L,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2004,$2 to $5 billion (USD)
19,"Decathlon
4.0",Data Scientist,Bengaluru,"Permanent contract
Full-time
Mid-Senior level
BTEC Higher National Diploma, Diploma of Higher Education
Data Scientist

Mission
About Decathlon Sports India:
Show More
Report",₹2L - ₹3L ,10000+ Employees,Company - Private,Retail & Wholesale,Sporting Goods Stores,1976,$10+ billion (USD)
20,Luein Analytics,Data Science Intern,Bengaluru,"Summary:

Luein Analytics is looking for a Data Science Intern to join our team in Bangalore. The successful candidate will be a fresher with a passion for Machine Learning and a desire to learn and grow in the field of Data Science. This is a full-time position and the successful candidate will be provided with the opportunity to work on challenging projects and gain valuable experience.

Responsibilities:





Show More
Report",#N/A,1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,2017,Less than $1 million (USD)
21,"JPMorgan Chase & Co
4.1",Data Science Strategic Analytics- Associate,Mumbai,"JOB DESCRIPTION

You are a strategic thinker passionate about driving solutions using analytical skills. You have found the right team.
As the Inforce Policy Review professional in our Business Intelligence and Advanced Analytics team you will spend each day defining, refining and delivering set goals for our firm
Job responsibilities
Partnering with business stakeholders to identify opportunities for leveraging advanced analytics
Embed analytics process in organizational decision making: descriptive, diagnostic and predictive and prescriptive analytics to derive better business outcomes








J.P. Morgan Asset & Wealth Management delivers industry-leading investment management and private banking solutions. Asset Management provides individuals, advisors and institutions with strategies and expertise that span the full spectrum of asset classes through our global network of investment professionals. Wealth Management helps individuals, families and foundations take a more intentional approach to their wealth or finances to better define, focus and realize their goals.
Show More
Report",₹5L - ₹9L ,10000+ Employees,Company - Public,Finance,Banking & Lending,1799,$10+ billion (USD)
22,Datawrkz,Junior Data Scientist Bangalore,Bengaluru,"Year of experience:
1-2
Departments:
Product
Location:
Bangalore
Responsibilities:
Assist in data analysis projects, extracting insights from tabular datasets like customer data, ads data, and transactional data.
Development of predictive models
Participate in data preprocessing tasks like data extraction and transformation

Show More
Report",₹6L - ₹7L ,51 to 200 Employees,Company - Private,Media & Communication,Advertising & Public Relations,2013,Unknown / Non-Applicable
23,Ellicium,Data Science,Pune,"Ellicium Family! We enable business transformation through Big Data, Analytics, and Artificial Intelligence What are we about? What are we about? At Ellicium be ready for contagious excitement, worthy challenges and enriching learning experience every day. We trust in the process of failing fast and learning fast. You will find ‘Ellicians’ putting their heart to get the perfect dish during our monthly potlucks or arguing over best Nolan movie during lunch breaks. It is all about having fun! We are passionate people with immense love for what we do and we are proud of what we have created! . Our Key Values AMBITION Empowering individuals to reach new heights and achieve their ambitious goals. TEAMWORK Collaborating to achieve extraordinary results and support each other’s success. GROWTH Providing continuous learning and development opportunities, unlocking your full potential. COMMUNITY Building a supportive and inclusive community where we make a positive impact together. Perks and Benefits Businesses need to make better and faster decisions by analyzing data to stay competitive and future-ready Targeted Bonus Program Health Care Competitive Salary
Data Science

Show More
Report",₹2L - ₹3L ,201 to 500 Employees,Company - Public,Information Technology,Software Development,2012,$5 to $25 million (USD)
24,Brave AI Lab,Data Science Intern,India,"We are looking for Data Science Interns to optimize one of the most complex Algo Trading systems in the world. Academic and/or practical background in Computer Science, Engineering, Operations Research, or Process Control is particularly relevant for this position. Experience in the integration of model-based engineering tools and/or multidisciplinary analysis & optimization is also a plus.

Major Responsibilities
Use data analyses and statistical techniques to develop solutions and to guide business decision making
Identify predictors and causes of business-related problems and implement novel approaches related to forecasting and prediction
Identify, develop, manage, and execute analyses to uncover areas of opportunity and present written business recommendations



Show More
Report",#N/A,1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,2020,$1 to $5 million (USD)
25,"Techolution
4.1",Artificial Intelligence Intern,Remote,"Job Description
Title: Artificial Intelligence Intern
Location: Hyderabad (on-site)
Role Type: Internship with PPO
Duration: 6 months
Stipend: 20k - 25k per month

Please apply if you are from the 2023/2024 pass-out batch.

Do you have an interest in working with the visionary team to build a state-of-the-art product? Are you looking for an ambitious project to showcase your Analytical skills? We are looking for Artificial Intelligence Interns to join our team.


















Show More
Report",₹20T - ₹25T,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2014,Unknown / Non-Applicable
26,ONLEI Technologies,Data Science Trainer,Remote,"As a Data Science & Analytics trainer, you will be responsible for training college students , freshers and Professionals . We are looking to hire a Data Science Trainer .
Freshers can Apply
Work From Home/Office
Show More
Report",#N/A,201 to 500 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
27,Instaspaces Realtech Private Limited,Data Science Intern,Gurgaon,"Job Description of Data Scientist Intern
As a Data Science Intern, you will have the opportunity to apply your analytical and problem-solving skills to real-world data challenges.
About the Company:
InstaSpaces is the biggest booking platform for professional workspaces and meeting rooms bookable hourly. InstaSpaces is the biggest provider of virtual offices for GST/business registration & mailing address in the country with a presence in all 29 states. InstaSpaces is a platform to efficiently utilize the commercial real estate of the economy through collaborative consumption. InstaSpaces offers professional workspaces with flexibility and transparency. One can book from 1 hour to months just at the tap of a button, without any lock-in periods or hefty security deposits. Each InstaSpace comes with its standard brand promises and service guarantees.
Show More
Report",₹5T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
28,Gurucul Solutions,Associate Data Scientist,Pune,"DATA SCIENTIST - JOB DESCRIPTION
Gurucul is seeking an innovative analytics thinker for the role of Data Scientist, to be part of
Gurucul’s Data Science team. The candidate will be a key individual contributor responsible for the design and development of predictive models using latest technologies in machine learning and artificial intelligence. The ideal candidate will have previous experience in the Cyber Security domain analyzing large data sets to develop actionable analytics solution. The candidate must also have experience in developing business intelligence solutions to improve operational efficiency, and in using data visualization tools to help in building visualization ideas to present the results to management teams.
The individual will be responsible for the creation of data models that can be applied for variety of
Cyber security and Fraud use cases. He/she must be able to pick suitable analytic techniques to address the problem and demonstrate expertise in using various algorithms and other modeling techniques.

Show More
Report",₹3L - ₹10L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29,"AceNgage Infoservices
4.0",Data Analytics - Power BI Specialist,Bengaluru,"Essential functions and responsibilities:
 Design and develop dashboards that cater to the business requirement.
 Create visual storyboard(s) to highlight business metrics and KPI’s in Power BI including usage of DAX language
 Break down the business problems into workable dashboard models. Design layouts to cater to the key metrics.
 Create innovative, interactive dashboards and scorecards for key performance indicators that are tailored to customers
 Build intuitive dashboards to illustrate results from predictive models for advanced analytics projects

Show More
Report",₹5L - ₹15L,1 to 50 Employees,Company - Private,Management & Consulting,Business Consulting,2007,$1 to $5 million (USD)
30,Von Services,Artificial Intelligence Intern,Cochin,"Job Title - AI Trainer(Artificial Intelligence Trainer)
Work location - Kaloor, Cochin
Salary - 30 k - 40 K
We are seeking an enthusiastic and knowledgeable AI Trainer to join our team and the ideal candidate should have a deep understanding of machine learning concepts, Data Science concepts , NLP, Deep learning and a passion for training students and to bring the best out of them .
Bachelor's or Master's degree in Computer Science, Data Science, Machine Learning, or a related field.
Strong understanding of machine learning concepts, algorithms, and training techniques.
Proficiency in programming languages like Python.

Show More
Report",₹30T - ₹40T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31,"X-YUG Technologies Pvt Ltd
2.1",Artificial Intelligence (AI) Engineer,Hyderābād,"Job Description: AI Engineer
LOCATION : HYDERABAD
Position Overview:
We are seeking a highly skilled and motivated AI Engineer to join our dynamic team and contribute to the development and implementation of cutting-edge artificial intelligence solutions. As an AI Engineer, you will play a pivotal role in designing, building, and deploying AI-powered applications that solve complex problems and enhance user experiences.
Key Responsibilities:
1. Algorithm Development: Design, develop, and optimize machine learning and deep learning algorithms to solve a wide range of problems, such as natural language processing, computer vision, recommendation systems, and more.



















Show More
Report",₹1L,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
32,8848 Digital LLP,Machine Learning Engineer,Remote,"Degree in Computer Science, Data Science or a related field.
Knowledge of NLP, Computer Vision and document information extraction.
Proven experience with data analysis, wrangling, and transformation.
Extensive experience with Python and libraries such as Pandas, Scikit-Learn, Py Torch, Hugging Face, MM detection and MM Classification.
Demonstrated experience in building, training, and optimizing deep learning models to resolve NLP task such as Token Classification and Text Classification using the Hugging Face library.
Demonstrated experience in training Computer Vision models for Image Classification, Object Detection and Segmentation.
Understanding of key machine learning concepts and metrics, such as F-measure.
Proficient in using Google Co lab and Weights & Biases for building and tracking ML experiments.


Show More
Report",₹12L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
33,"MNJ Software
2.0",Data Science (AI & Python Program Developers),Remote,"About Us
Energize your career with one of Information Technology’s fastest growing companies.
You dream of a great career with a great company – where you can make an impact and help people. We dream of giving you the opportunity to do just this. And with the incredible growth of our business, it’s a dream that definitely can come true. Already one of the world’s leading IT companies, MNJ SOFTWARE is restlessly pursuing new ways to operate our service centers, improve our service levels and help people lead healthier lives. We live for the opportunity to make a difference and right now, we are living it up.
MNJ SOFTWARE is an IT services, business solutions and outsourcing organization that delivers real results to global businesses, ensuring a level of certainty no other firm can match.
MNJ SOFTWARE offers a consulting-led, integrated portfolio of IT and IT-enabled services delivered through its unique Global Network Delivery Model, recognized as the benchmark of excellence in software development.


Show More
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
34,eigital - redefining digital,AI & MACHINE LEARNING Manager (SENIOR LEVEL),Remote,"JOB DESCRIPTION: AI & MACHINE LEARNING
WHAT WE ARE LOOKING FOR
We are seeking a highly skilled Ai & Machine Learning Engineer with a proven history of creative thinking and outstanding proficiency in Ai & Machine Learning.
Role and Responsibilities As a Ai & Machine Learning Engineer, you will be responsible for creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, we’d like to meet you.
Responsibilities
Study and transform data science prototypes
Show More
Report",₹40T - ₹80T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35,"Sage IT India
4.4",Data Science - 51878295,India,"Data Science:
A Data Scientist is a proficient specialist who applies mathematical, problem-solving, and coding skills to manage big data, extracting valuable insights. They design tailor-made solutions from this data, aiding organizations in achieving their unique objectives and goals.
Show More
Report",#N/A,501 to 1000 Employees,Company - Private,Information Technology,Information Technology Support Services,2003,$100 to $500 million (USD)
36,Gleam Technologies,Artificial Intelligence Specialist,Hyderābād,"Job Description
AI Solution Development: Collaborating with cross-functional teams, including data scientists, engineers, and business stakeholders, to design and develop AI solutions tailored to specific business needs.
Data Analysis and Preprocessing: Collecting, analyzing, and preprocessing large datasets to ensure they are suitable for training AI models.
Model Selection and Training: Identifying appropriate AI algorithms and models for specific tasks and training them using relevant data.
Machine Learning and Deep Learning: Applying machine learning and deep learning techniques to build predictive and prescriptive AI models for tasks such as image recognition, natural language processing, recommendation systems, and anomaly detection.

Show More
Report",₹5L - ₹10L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37,"Concept BIU
5.0",Machine Learning Engineer,Remote,"Concept BIU is a Division of Concept Group and Business Intelligence Unit & a combination of industry defining Media Monitoring Capabilities, Analytic Tools & Consultative Client Relations. We deliver business critical news and information that can be used by leading corporations across industries to gain and maintain their competitive edge. + Online Reputation + Social CRM + Social Analytics + Social Publishing + Surveys + Dashboards / BI Tools .
To learn more please visit
https://www.conceptbiu.com/
https://www.conceptindia.com/
COMPANY : CONCEPT BIU
LOCATION : MUMBAI (NARIMAN POINT)/ Remote
Show More
Report",₹16L,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
38,"Accenture
4.1",Applied Intelligence - Marketing - Data Science (Regular) - 07,India,"About Accenture:
Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries,we offer Strategy and Consulting,Technology and Operations Services, and Accenture Song - all powered by the world's largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com

Manager in Applied Intelligence

An analyst/consultant in Applied intelligence understands the importance of sound analytical decision-making, relationship of tasks to the overall project, and executes projects in the context of a business performance improvement initiative.
Duties and Responsibilities:
o Define data requirements for creating a model and understand the business problem
o Clean, aggregate, analyze, interpret data and carry out quality analysis of it
o 5-10+ years of advanced experience of Market Mix Modeling and related concepts of optimizing promotional channels and budget allocation
o Experience in working with non linear optimization techniques.
o Proficiency in Statistical and Probabilistic methods such as SVM, Decision-Trees, Bagging and Boosting Techniques, Clustering
o Hands on experience in python data-science and math packages such as NumPy , Pandas, Sklearn, Seaborne, Pycaret, Matplotlib
o Development of AI/ML models
o Develop and Manage data pipelines
o Develop and Manage Data within different layers of Snowflake/Azure
o Aware of common design patterns for scalable machine learning architectures, as well as tools for deploying and maintaining machine learning models in production. Knowledge of cloud platforms and usage for pipelining and deploying and scaling marketing mix models.
Requirements:
Soft Skills

Educational Background/qualifications • Master degree in Statistics/Econometrics/ Economics from reputed institute • B Tech/M Tech from reputed engineering colleges • Masters/M Tech in Computer Science • M.Phil/Ph.D in statistics/econometrics or related field.
Show More
Report",#N/A,10000+ Employees,Company - Public,Management & Consulting,Business Consulting,1989,$10+ billion (USD)
39,eigital - redefining digital,AI & MACHINE LEARNING Associate Manager (MID-LEVEL),Remote,"JOB DESCRIPTION: AI & MACHINE LEARNING
WHAT WE ARE LOOKING FOR
We are seeking a highly skilled Ai & Machine Learning Engineer with a proven history of creative thinking and outstanding proficiency in Ai & Machine Learning.
Role and Responsibilities As a Ai & Machine Learning Engineer, you will be responsible for creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, we’d like to meet you.
Responsibilities
Study and transform data science prototypes
Show More
Report",₹35T - ₹50T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40,Brave AI Lab,Python Interns,India,"About Us
Brave AI Lab’s mission is to imagine and create exceptional AI robots that enrich people’s lives. Building smart machines that can automate intelligent tasks. We see the products of this work as the next step in the human history of creating machines to reduce the danger, repetition, and physically demanding aspects of work. We're a multidisciplinary team of professionals working every day to make that vision a reality, building a commercial company from our roots in AI robotics research and development.
We need a Robotic Engineer to design, build, and optimize robots. This position requires an academic and/or practical background in computer science, and mechanical and electronic engineering. Experience integrating mechanical elements with electronic controllers and programming is a huge advantage.

Major Responsibilities
Show More
Report",#N/A,1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,2020,$1 to $5 million (USD)
41,"UpTricks
4.3",Data Science Internship,Pune,"Selected intern's day-to-day responsibilities include:
1. Working on data science algorithms and AI concepts
2. Using Python or R for web scraping
3. Building AI models using Python, machine learning, and deep learning algorithms
4. Processing of unstructured/structured data
Job Type: Internship
Contract length: 2 months
Schedule:
Day shift
Show More
Report",#N/A,51 to 200 Employees,Self-employed,Information Technology,Information Technology Support Services,2013,$5 to $25 million (USD)
